"","sample_id","plate","batch","pool","well_position","stage","buffer","collection_date","original_well_position","image_code","follicle_size","oocyte_size","ovary_side","collection_time","sample_type","PF_BASES","PF_ALIGNED_BASES","RIBOSOMAL_BASES","CODING_BASES","UTR_BASES","INTRONIC_BASES","INTERGENIC_BASES","IGNORED_READS","CORRECT_STRAND_READS","INCORRECT_STRAND_READS","NUM_R1_TRANSCRIPT_STRAND_READS","NUM_R2_TRANSCRIPT_STRAND_READS","NUM_UNEXPLAINED_READS","PCT_R1_TRANSCRIPT_STRAND_READS","PCT_R2_TRANSCRIPT_STRAND_READS","PCT_RIBOSOMAL_BASES","PCT_CODING_BASES","PCT_UTR_BASES","PCT_INTRONIC_BASES","PCT_INTERGENIC_BASES","PCT_MRNA_BASES","PCT_USABLE_BASES","PCT_CORRECT_STRAND_READS","MEDIAN_CV_COVERAGE","MEDIAN_5PRIME_BIAS","MEDIAN_3PRIME_BIAS","MEDIAN_5PRIME_TO_3PRIME_BIAS","Number.of.input.reads","Average.input.read.length","Uniquely.mapped.reads.number","Uniquely.mapped.reads..","Average.mapped.length","Number.of.splices..Total","Number.of.splices..Annotated..sjdb.","Number.of.splices..GT.AG","Number.of.splices..GC.AG","Number.of.splices..AT.AC","Number.of.splices..Non.canonical","Mismatch.rate.per.base....","Deletion.rate.per.base","Deletion.average.length","Insertion.rate.per.base","Insertion.average.length","Number.of.reads.mapped.to.multiple.loci","X..of.reads.mapped.to.multiple.loci","Number.of.reads.mapped.to.too.many.loci","X..of.reads.mapped.to.too.many.loci","Number.of.reads.unmapped..too.many.mismatches","X..of.reads.unmapped..too.many.mismatches","Number.of.reads.unmapped..too.short","X..of.reads.unmapped..too.short","Number.of.reads.unmapped..other","X..of.reads.unmapped..other","Number.of.chimeric.reads","X..of.chimeric.reads"
"1","D20_250004","BGSA3_5A",8,16,"A4","secondary","RLT","43804","1_4_5A_A4_A4","4",68.6265,39.351,"L",2.5,"unknown",1770556320,1755621041,14675308,795557062,468620106,294465617,182302948,0,18767304,18768268,9218193,9216561,334424,0.500044,0.499956,0.8359,0.453149,0.266926,0.167727,0.10384,72.0074,0.714,0.499987,0.493836,0.518606,0.775871,0.660925,36330882,60,25869878,"71.21%",59.53,3900854,3887727,3867442,25980,5151,2281,"0.38%","0.00%",1.16,"0.01%",1.04,3639394,"10.02%",549878,"1.51%",0,"0.00%",4894014,"13.47%",1377718,"3.79%",0,"0.00%"
"2","D20_250006","BGSA3_5A",8,16,"B1","secondary","RLT","43804","1_6_5A_B1_B1","6",94.17,47.8365,"L",2.5,"unknown",484506300,479266878,15724972,219751929,151776436,63222631,28790910,0,5497936,5483455,2673673,2670669,147266,0.500281,0.499719,3.281,0.458517,0.316685,0.131915,0.060073,77.5201,0.766818,0.500659,0.546802,0.508997,0.843422,0.590112,10367960,60,6728475,"64.90%",59.42,1142851,1140168,1132643,8271,1250,687,"0.43%","0.00%",1.18,"0.01%",1.03,1346630,"12.99%",191742,"1.85%",0,"0.00%",1938979,"18.70%",162134,"1.56%",0,"0.00%"
"3","D20_250007","BGSA3_5A",8,16,"B2","secondary","RLT","43804","1_7_5A_B2_B2","7",83.38,47.133,"L",2.5,"unknown",877405800,869463190,19887181,386448852,285169260,133457087,44500810,0,9937717,9933903,4869530,4858210,209567,0.500582,0.499418,2.2873,0.444468,0.327983,0.153494,0.051182,77.2451,0.765459,0.500096,0.568364,0.489323,0.800564,0.598208,17703471,60,12594642,"71.14%",59.5,1977193,1972418,1959978,14129,2140,946,"0.41%","0.00%",1.2,"0.01%",1.03,2028788,"11.46%",222285,"1.26%",0,"0.00%",2536336,"14.33%",321420,"1.82%",0,"0.00%"
"4","D20_250009","BGSA3_5A",8,16,"B4","secondary","RLT","43804","1_9_5A_B4_B4","9",81.196,44.187,"L",2.5,"unknown",551036940,540553856,27620457,166224058,95646405,121213374,129849562,0,4016115,3972888,1872879,1866416,256776,0.500864,0.499136,5.1097,0.307507,0.176941,0.224239,0.240216,48.4448,0.475232,0.502705,0.631751,0.515333,0.806996,0.592722,16500592,60,5513914,"33.42%",58.98,565459,562009,559380,4007,394,1678,"1.03%","0.00%",1.18,"0.01%",1.07,3670035,"22.24%",781803,"4.74%",0,"0.00%",5783298,"35.05%",751542,"4.55%",0,"0.00%"
"5","D20_250010","BGSA3_5A",8,16,"B5","secondary","RLT","43804","1_10_5A_B5_B5","10",102.4495,45.546,"L",2.5,"unknown",443143020,437769207,85849632,179338997,133199963,13162199,26218416,0,4599523,4620010,2258965,2251604,100847,0.500816,0.499184,19.6107,0.409666,0.30427,0.030067,0.059891,71.3935,0.705278,0.498889,0.605574,0.462469,0.748883,0.553226,9397611,60,6056623,"64.45%",59.3,955675,953977,946945,7482,835,413,"0.67%","0.00%",1.18,"0.01%",1.03,1329094,"14.14%",57896,"0.62%",0,"0.00%",1937717,"20.62%",16281,"0.17%",0,"0.00%"
"6","D20_250012","BGSA3_6A",8,17,"A2","primordial","RLT","43805","2_2_6A_A2_C2","29",25.1065,19.327,"L",2,"unknown",601964040,596927778,43783371,289585622,171378195,62891510,29289080,0,6867283,6877032,3383457,3373197,116771,0.500759,0.499241,7.3348,0.485127,0.2871,0.105359,0.049066,77.2227,0.765766,0.499645,0.536409,0.535691,0.80152,0.644755,11681673,60,8963090,"76.73%",59.51,1505181,1499761,1491737,11356,1615,473,"0.41%","0.00%",1.18,"0.01%",1.03,1069644,"9.16%",96289,"0.82%",0,"0.00%",1345675,"11.52%",206975,"1.77%",0,"0.00%"
"7","D20_250027","BGSA3_5B",8,18,"A1","primordial","RLT","43804","3_1_6B_A1_E1","11",20.9125,13.859,"R",2,"unknown",834439140,825814425,103886046,339802153,201450261,132263138,48412827,0,8022794,8056533,3956586,3933808,149464,0.501443,0.498557,12.5798,0.411475,0.243941,0.160161,0.058624,65.5417,0.648642,0.498951,0.51644,0.532161,0.800173,0.655576,16321788,60,12255884,"75.09%",59.41,1818904,1812824,1802732,13464,2074,634,"0.39%","0.00%",1.18,"0.01%",1.03,1651435,"10.12%",100139,"0.61%",0,"0.00%",2139110,"13.11%",175220,"1.07%",0,"0.00%"
"8","D20_250029","BGSA3_5B",8,18,"A3","primordial","RLT","43804","3_3_6B_A3_E3","13",21.352,14.5175,"R",2,"unknown",1709635440,1693892225,176145754,759967237,404694829,251728015,101356390,0,17296436,17305810,8513330,8509077,279686,0.500125,0.499875,10.3989,0.448651,0.238914,0.148609,0.059836,68.7566,0.681234,0.499865,0.514515,0.537599,0.733509,0.716306,33157066,60,25017223,"75.45%",59.47,4061009,4044703,4022980,31971,4506,1552,"0.40%","0.00%",1.2,"0.01%",1.03,3476701,"10.49%",305777,"0.92%",0,"0.00%",3906315,"11.78%",451050,"1.36%",0,"0.00%"
"9","D20_250033","BGSA3_5B",8,18,"A7","primordial","RLT","43804","3_7_6B_A7_E7","17",25.986,19.429,"R",2,"unknown",425056920,420631754,28518264,199159391,114663687,54062924,24227488,0,4667042,4680602,2297662,2289403,86769,0.5009,0.4991,6.7799,0.473477,0.272599,0.128528,0.057598,74.6076,0.738308,0.499275,0.495338,0.539396,0.784981,0.671507,8636786,60,6223574,"72.06%",59.42,1072906,1069203,1062999,8236,1236,435,"0.40%","0.00%",1.19,"0.01%",1.03,860708,"9.97%",78023,"0.90%",0,"0.00%",1344953,"15.57%",129528,"1.50%",0,"0.00%"
"10","D20_250034","BGSA3_5B",8,18,"A8","primordial","RLT","43804","3_8_6B_A8_E8","18",17.752,13.507,"R",2,"unknown",980594340,970392771,103528449,405111926,248572576,146728267,66451553,0,9692547,9712765,4759757,4742410,200015,0.500913,0.499087,10.6687,0.417472,0.256157,0.151205,0.068479,67.3629,0.666621,0.499479,0.504723,0.537321,0.804265,0.666368,19609929,60,14202166,"72.42%",59.42,2164304,2154935,2143896,17042,2319,1047,"0.39%","0.00%",1.19,"0.01%",1.03,2141073,"10.92%",184491,"0.94%",0,"0.00%",2884661,"14.71%",197538,"1.01%",0,"0.00%"
