"","D20_250004","D20_250006","D20_250007","D20_250009","D20_250010","D20_250012","D20_250027","D20_250029","D20_250033","D20_250034","D20_250037","D20_250039","D20_250040","D20_250041","D20_250044","S023","S035","S087","S117","S157","S166","S169","S178"
"Gnai3",738,999,2087,499,1514,445,1981,237,406,332,299,53,1716,1458,3498,1433,686,330,1862,177,1074,2389,699
"Pbsn",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Cdc45",883,90,764,45,108,656,268,36,71,36,193,151,831,271,711,377,206,5,747,55,983,125,29
"H19",0,53,8,4,0,0,0,0,0,0,3,10,29,4,9,0,0,0,0,0,28,0,0
"Scml2",157,8,97,4,24,9,86,264,8,213,126,12,99,61,103,95,1,0,89,1,247,1,112
"Apoh",19,4,4,0,0,0,15,14,3,1,1,4,3,0,9,0,7,0,5,9,2,6,4
"Narf",214,250,446,32,86,510,61,770,909,527,269,10,352,154,488,216,153,15,423,23,2233,1342,37
"Cav2",19,6,8,5,0,76,0,38,30,0,0,0,0,0,9,0,0,0,0,1,4,64,0
"Klf6",10157,2318,2466,1058,469,2617,810,7530,922,1122,189,88,607,639,8748,1895,949,1117,693,193,3454,6453,2465
"Scmh1",871,876,2878,15,166,754,327,4256,494,530,880,611,863,247,739,932,445,280,517,954,1322,1111,655
"Cox5a",1317,2040,1734,421,735,983,2803,3068,1044,1277,6,1370,2052,859,4896,2194,500,250,2281,142,2365,6437,2130
"Tbx2",0,19,0,0,0,0,0,0,0,0,2,1,10,0,3,0,0,1,0,0,0,0,0
"Tbx4",133,57,194,9,0,20,47,109,22,0,124,109,139,72,146,111,34,36,25,31,44,0,73
"Zfy2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ngfr",0,16,0,0,0,0,0,0,0,0,3,12,30,0,27,0,0,0,0,0,0,0,0
"Wnt3",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,40,0,0,0,3,0,0,0
"Wnt9a",117,17,48,10,1,125,12,0,0,22,21,106,41,27,45,57,0,17,7,7,58,133,55
"Fer",410,55,255,66,15,25,66,88,61,975,108,60,219,108,287,156,103,46,121,183,389,91,64
"Xpo6",6510,139,217,70,52,482,223,1357,187,641,129,458,192,269,356,622,189,154,446,278,1186,639,241
"Tfe3",472,853,896,70,73,966,663,2641,83,1286,918,1120,1477,133,447,814,374,197,504,470,1570,1580,1025
"Axin2",1284,82,98,4,36,333,765,570,46,31,96,467,262,84,129,307,48,85,66,275,296,198,235
"Brat1",330,681,522,63,13,330,352,1029,939,1081,668,446,810,281,185,317,416,100,373,305,1046,1793,897
"Gna12",393,119,416,99,1,231,437,329,250,239,280,573,427,179,301,370,71,41,282,179,732,789,187
"Slc22a18",0,1,0,0,0,0,1,0,0,0,0,14,0,0,0,0,36,0,0,1,2,300,24
"Itgb2l",90,0,2,0,0,0,0,0,0,6,31,53,0,9,3,0,0,0,10,0,34,0,0
"Igsf5",1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"Pih1d2",75,20,38,8,0,4,37,90,20,10,6,47,74,59,84,0,0,0,45,7,39,6,26
"Dlat",2323,1033,762,31,371,952,288,1519,693,569,25,129,996,708,2970,1316,140,145,1103,184,1470,2613,710
"Sdhd",1665,88,451,56,977,706,918,723,346,272,10,390,698,782,663,551,286,24,1109,23,2525,1048,249
"Fgf23",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,66,0,0,0,0,0,0
"Fgf6",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"Ccnd2",2987,1723,20540,1617,878,259,7463,8228,489,4588,3763,2207,10453,4760,5400,5226,3567,2093,3490,1220,5850,8965,2930
"Gpr107",222,47,889,38,943,699,160,885,206,617,398,160,233,242,437,525,171,127,310,193,1136,1301,305
"Nalcn",17,1,15,0,0,74,113,660,215,15,1,50,24,30,37,17,0,6,2,79,69,22,53
"Btbd17",44,33,18,0,0,0,150,114,0,0,49,43,23,9,56,0,0,32,242,90,55,0,0
"Slfn4",18,0,12,0,0,0,0,45,4,0,6,1,6,13,38,1,26,3,0,1,0,0,0
"Th",908,30,60,10,0,2337,1170,2779,690,1417,201,278,166,181,213,134,104,26,107,74,3856,3272,1299
"Ins2",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0
"Scnn1g",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,23,0,0,0,0,0,0
"Drp2",112,67,202,52,102,0,135,267,22,0,427,81,86,319,193,145,95,59,17,36,359,46,1
"Tspan32",103,0,10,4,0,0,0,1,0,0,11,13,16,1,1,13,4,0,14,0,4,0,0
"Lhx2",12,11,0,0,0,0,0,0,0,0,1,6,6,0,0,16,0,1,2,0,0,0,0
"Clec2g",1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,4,0
"Gmpr",4133,2004,2315,296,1748,288,3569,6084,1383,1508,13,1356,2223,2011,2022,2298,770,466,2741,356,3851,6198,2193
"Glra1",7,0,0,1,0,0,0,5,0,0,0,5,0,0,0,0,0,1,0,0,3,0,0
"Mid2",9,7,8,4,31,0,43,0,0,0,14,5,11,2,4,16,66,0,0,0,0,0,0
"Trim25",474,300,273,48,13,159,38,417,73,834,153,606,205,43,325,285,122,64,174,137,505,360,289
"Dgke",51,127,390,43,6,374,241,45,22,398,76,282,279,152,238,262,35,50,117,234,127,21,260
"Scpep1",1823,195,1473,82,258,710,1007,4375,59,465,210,53,1196,428,3063,806,364,356,230,293,1997,2614,279
"Mnt",391,50,61,13,121,18,156,509,86,17,63,301,92,28,76,102,104,43,56,160,101,272,55
"Itgb2",1,0,0,0,0,0,0,0,0,0,12,6,7,0,0,7,0,0,0,0,0,0,0
"Hddc2",85,293,428,79,421,92,324,589,39,147,7,119,470,453,860,589,64,39,590,41,435,768,64
"Tpd52l1",502,445,348,81,976,20,125,192,99,241,6,162,273,417,621,808,75,27,1022,31,234,602,42
"Pemt",6,129,74,26,92,168,84,270,159,74,2,84,136,66,145,101,40,8,160,25,268,631,49
"Cdh1",456,214,491,31,0,519,459,396,137,91,239,217,573,206,626,502,0,116,115,295,422,447,174
"Cdh4",34,13,61,10,10,32,2,3,31,0,27,8,24,26,34,1,0,5,21,0,116,0,0
"Ckmt1",0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
"Bcl6b",0,1,0,0,0,0,0,0,0,1,8,3,7,2,9,0,0,0,0,0,14,0,0
"Clec10a",304,46,95,9,0,26,92,36,84,57,11,105,84,69,62,83,23,1,117,0,180,245,42
"Alox12",8,1,6,1,0,29,49,34,6,36,10,5,26,15,11,21,0,0,0,1,59,1,0
"Comt",376,1333,735,61,133,320,321,196,190,234,9,305,803,461,486,583,199,56,987,100,377,1141,202
"Rtca",815,372,641,63,167,441,1267,1304,208,65,4,332,579,318,969,611,118,54,664,78,885,1821,563
"Dbt",36,31,82,22,105,14,71,202,18,659,105,29,87,91,77,91,46,19,67,46,424,0,113
"Dazap2",11073,115,1101,347,1151,3093,2001,5617,1173,6106,30,1245,1167,1573,1429,1430,758,408,1514,876,8331,6291,820
"Mcts1",201,20,83,19,36,10,210,95,47,39,1,21,64,71,118,76,21,38,6,0,287,85,39
"Rem1",33,30,6,1,0,80,68,184,0,47,1,40,24,17,50,0,0,8,4,4,10,820,20
"Rnf17",460,68,193,10,0,211,242,129,54,712,72,80,143,77,294,194,7,1,221,1,768,957,0
"Trappc10",40,24,243,5,174,104,205,608,102,420,244,234,220,71,67,48,214,32,98,125,609,334,214
"Ccm2",836,108,469,128,211,99,87,0,109,38,55,160,297,215,387,0,225,49,328,17,148,440,29
"Wap",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tbrg4",1523,331,804,82,6,97,285,1358,48,450,717,115,903,307,1050,440,376,132,396,146,709,793,284
"Tmprss2",76,0,1,0,0,0,4,0,0,0,7,10,1,6,0,0,0,0,0,0,0,0,0
"Mx1",68,0,9,0,0,0,0,2,0,0,1,2,0,0,4,1,0,0,0,0,0,0,0
"Fap",4,0,4,1,0,0,0,0,0,0,1,2,1,2,0,3,0,0,0,0,0,0,0
"Gcg",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ndufa9",3360,568,598,76,152,268,1556,2477,642,1502,5,668,809,683,1132,715,321,12,1371,63,3289,4093,355
"Egfl6",0,23,11,2,0,94,0,0,0,0,0,3,14,1,10,0,0,0,0,0,44,0,0
"Lck",79,22,33,21,1,0,0,111,61,0,13,15,33,25,35,5,22,1,43,0,175,38,12
"Tssk3",0,0,0,1,0,0,0,0,6,0,9,0,4,0,8,31,0,0,0,0,0,0,0
"Cttnbp2",159,13,105,18,3,95,42,133,29,396,51,2,70,43,69,0,56,23,12,41,264,0,107
"Galnt1",1836,254,144,60,255,158,245,659,4,76,547,96,282,152,237,132,341,102,311,159,262,502,102
"Myf5",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0
"Mkrn2",1589,1097,2284,59,238,1920,2138,4396,1102,98,113,1415,2434,1005,1899,1078,783,227,1383,393,4231,4337,1066
"Pparg",87,6,57,9,20,12,2,0,6,0,34,14,51,31,116,13,38,0,29,4,27,0,0
"Raf1",5285,2321,3217,267,255,5386,1128,2837,1050,121,362,865,3137,1647,5543,2306,1147,563,2137,1131,3957,3550,1537
"Septin1",21,1,9,2,15,10,4,74,2,0,9,13,16,16,24,16,0,0,21,2,15,50,8
"Pdgfb",919,107,417,24,21,24,182,1196,173,35,219,306,381,54,289,421,0,63,220,97,432,391,227
"Acvrl1",36,7,21,0,0,98,13,104,0,0,1,1,4,0,22,0,0,14,0,0,29,12,0
"Tamalin",893,132,239,86,45,0,0,18,21,24,23,314,338,121,69,0,197,39,210,34,8,47,22
"Acvr1b",213,71,250,5,3,76,76,719,141,179,240,124,286,36,185,201,0,57,30,276,133,254,67
"Tom1l2",556,762,2506,252,696,2490,894,2320,1288,1316,4211,146,1566,789,600,1375,948,428,770,1555,3249,2939,1049
"Gpa33",0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0
"Zfp385a",189,15,52,16,87,136,0,113,89,0,18,67,49,35,80,1,120,14,41,131,69,46,44
"Itga5",2,53,71,25,8,198,35,352,155,101,74,23,202,61,130,101,23,11,85,92,294,203,1
"Gabra2",0,0,0,0,0,0,0,0,0,0,0,4,3,0,1,0,0,0,0,0,0,0,0
"Wdr77",454,255,938,72,148,212,59,314,9,159,12,33,421,447,822,212,210,85,415,59,262,268,138
"Adora3",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,1,0,0
"Atp5pb",2987,1254,2409,570,958,1042,2387,2495,950,2094,4,436,2072,1935,4598,1924,700,269,2686,164,2012,6524,2276
"Sox9",384,65,99,24,66,103,268,0,46,0,26,12,21,31,32,0,59,41,0,82,115,0,51
"Hnrnpd",426,46,151,9,67,36,223,527,24,13,23,255,198,52,233,136,90,7,211,158,259,0,32
"Dynlt1c",1,5,7,12,7,6,6,4,9,0,1,8,11,2,3,4,4,0,0,0,1,13,0
"C1d",542,150,293,61,757,225,407,447,92,927,5,79,254,228,771,324,136,53,537,25,797,1473,225
"Gm2a",1186,435,583,245,696,126,191,476,9,250,35,65,124,797,1728,643,282,72,961,44,172,800,113
"Krit1",687,301,420,30,74,73,18,591,116,923,333,20,358,272,557,182,258,51,335,149,210,975,198
"Clcn4",1189,550,861,230,2,612,210,1470,146,290,340,128,1100,393,1441,388,420,59,881,63,996,1576,315
"Vmn2r88",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
"Grm6",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0
"Sema4f",0,9,30,2,0,194,0,0,29,0,0,30,8,8,22,0,0,5,1,31,211,551,0
"Hk2",79,89,99,13,32,28,0,0,0,0,21,27,113,47,98,85,14,0,152,2,56,0,0
"Myo18a",586,193,490,107,256,114,703,271,581,1113,1124,82,643,163,149,351,350,153,257,328,1792,60,360
"Sez6",0,1,12,1,0,0,0,0,0,0,0,21,6,0,8,0,0,0,0,0,36,0,60
"Haao",0,5,0,1,0,33,1,0,0,0,4,4,9,5,7,8,0,3,1,0,55,0,0
"Cd52",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2
"Abhd15",31,27,148,21,65,2,73,20,46,7,23,116,83,64,39,127,0,12,101,35,17,103,36
"Hoxb6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Loxl3",280,212,196,29,32,8,196,17,77,14,174,75,303,106,154,188,84,7,316,10,177,100,81
"Tcl1b5",22,1,0,0,0,0,0,0,0,0,20,9,8,14,6,0,0,0,0,0,0,0,0
"Btn1a1",532,40,100,28,0,0,517,525,77,358,113,68,161,64,131,0,0,33,0,38,465,75,222
"Kat2b",160,22,36,6,0,29,47,60,1,106,16,19,25,7,22,17,30,12,1,71,19,0,0
"Rab5b",606,37,266,62,235,488,142,404,22,579,268,10,142,136,133,321,56,56,228,156,630,381,78
"Cryba1",11,0,1,2,0,3,15,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Dnmt3l",62,54,116,23,0,0,0,0,0,0,24,9,58,43,112,4,0,0,16,0,0,0,0
"Aire",0,13,24,7,0,0,0,0,0,0,29,16,17,20,42,23,0,0,14,1,3,0,0
"Icosl",591,201,328,59,162,232,358,284,354,0,70,255,381,186,312,334,93,112,122,108,653,305,253
"Spg7",1775,57,320,57,468,123,5,612,136,122,41,348,417,296,326,564,105,63,568,54,271,410,179
"Sult5a1",109,29,140,9,17,57,74,495,71,0,4,21,123,26,71,75,11,11,67,1,279,391,34
"Rpl13",463,3129,2468,1974,4631,649,2745,5748,1920,2910,78,3820,4890,2528,6997,4582,1557,666,5374,328,3102,10043,2868
"Chmp1a",2952,1584,352,82,45,1683,1227,4284,99,1596,745,197,1448,352,1296,943,392,155,1061,111,2118,4032,1805
"Rpa1",6465,1463,3177,52,54,2284,1530,9059,2552,897,1939,556,2710,1010,2590,2324,545,180,2412,396,6581,8476,2328
